has_at,how_many_at,before_at_any_char,aft_at_any_char,has_dot_after_at,end_with_alpha_char,label
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,0,1,1,other
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,1,1,email_id
1,1,1,1,0,1,other
0,0,0,0,0,1,other
0,0,0,0,0,1,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,1,other
0,0,0,0,0,1,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
1,1,1,1,0,1,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,0,other
0,0,0,0,0,1,other
0,0,0,0,0,0,other
