field_len,is_only_number,count_after_first_hyphen,label
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
24,1,0,guid
24,1,0,guid
24,1,0,guid
24,1,0,guid
24,1,0,guid
24,1,0,guid
24,1,0,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
32,1,4,guid
29,1,4,other
25,1,4,other
25,1,4,other
24,1,0,guid
10,1,4,other
13,0,0,other
13,0,0,other
14,0,0,other
11,0,0,other
10,1,2,other
10,1,2,other
11,1,0,other
10,1,0,other
15,0,0,other
21,0,0,other
19,0,0,other
13,0,0,other
19,1,0,other
27,1,0,other
28,1,0,other
29,1,0,other
36,1,0,other
36,1,0,other
36,1,0,other
